Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID,avg_speed_kmh,on_time_pct,is_partial_year_data,reliability_risk_score,boardings_per_revenue_hour,line_id_list
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,56000,29000,6.3,16 km/h,87,894467,2664,2269,1741,2.0,84%,2210112.0,20650,,,,11428.2244620204,2024,699,11428.2244620674,7f2f34ee-97b6-4579-82c0-d09820f10383,16.0,84.0,False,143114.72,447233.5,['229']
337,FRASER HEIGHTS/GUILDFORD/SURREY CTR,Southeast,Std. Bus,Peak Frequent,63000,30000,7.8,24 km/h,83,930925,2834,2121,1767,2.0,85%,2185976.0,23715,,Guildford; Surrey Central,Expo/Millennium Line,24415.3108501371,2024,734,24415.3108501438,2f61f571-948b-4d3e-a74d-36291bec17ad,24.0,85.0,False,139638.75,465462.5,['337']
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,55000,25000,11.9,20 km/h,105,633086,1929,1408,1224,0.0,78%,2271519.0,21349,,,,27752.1308500637,2024,702,27752.1308500286,099157da-7c7a-4807-8a51-e3e48b8ab7bc,20.0,78.0,False,139278.92,inf,['232']
388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only - Limited,67000,57000,26.3,28 km/h,124,434050,1738,0,1266,2.0,69%,1561349.0,15383,,22nd Street; Carvolth,Expo/Millennium Line,76927.9776375819,2024,751,76927.9776375455,987843dd-95ed-4b42-9da0-442eb6b94a2f,28.0,69.0,False,134555.5,217025.0,['388']
791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic,50000,51000,26.9,31 km/h,110,572816,2293,0,1798,10.0,77%,2170748.0,21599,,Braid; Haney Place; Maple Meadows; Pitt Meadows,Expo/Millennium Line; West Coast Express,67938.7843485261,2024,798,67938.7843485039,f0ec43ac-2214-4c08-a4b7-2acdd2b9fad0,31.0,77.0,False,131747.68,57281.6,['791']
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,69000,30000,15.0,24 km/h,96,693038,2225,1628,836,1.0,81%,2225725.0,20689,,Braid; Burquitlam; Lougheed Town Centre,Expo/Millennium Line,26834.1849905716,2024,672,26834.1849905882,7bbe8046-20aa-4e4c-858a-ed59555c8752,24.0,81.0,False,131677.22,693038.0,['156']
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,52000,45000,16.6,26 km/h,95,736701,2393,1589,894,4.0,83%,2910476.0,26718,,Braid; Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,45981.2680100645,2024,674,45981.2680100727,7bf53ba4-797b-4660-b6d8-27e17ab54fa0,26.0,83.0,False,125239.17,184175.25,['159']
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,63000,53000,14.1,24 km/h,70,1190813,4200,1385,1124,12.0,90%,3129565.0,29753,,Edmonds; Metrotown,Expo/Millennium Line,37917.2858799805,2024,652,37917.2858799765,37ec7dec-1d8e-4446-8e5c-637252b7acb1,24.0,90.0,False,119081.3,99234.41666666669,['116']
326,GUILDFORD/SURREY CENTRAL STN,Southeast,Std. Bus,Basic,88000,40000,12.4,19 km/h,109,588899,1969,933,771,15.0,80%,1255988.0,14802,,Guildford; King George; Surrey Central,Expo/Millennium Line,28599.9653101337,2024,731,28599.9653101053,294e7fbc-f2a9-43b4-bff7-633cfbca9adc,19.0,80.0,False,117779.8,39259.93333333333,['326']
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,75000,39000,5.7,16 km/h,44,1899914,5613,4755,3924,3.0,94%,3262043.0,30225,,Edmonds; Metrotown,Expo/Millennium Line,9188.35524264793,2024,653,9188.35524263194,238b138c-3043-4963-847f-0aed4ea6daba,16.0,94.0,False,113994.84,633304.6666666666,['119']
310,SCOTTSDALE/LADNER,Southeast,Std. Bus,Standard,41000,16000,22.3,32 km/h,108,598731,1759,1379,1368,0.0,81%,2252556.0,24329,Data reflects extension to Ladner Village in Sep 2021,,,44695.2533756394,2024,719,44695.2533756525,28b30815-c244-4d05-a111-20fb3e50bd77,32.0,81.0,False,113758.89,inf,['310']
316,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,77000,27000,10.7,19 km/h,82,945367,2793,2475,1866,8.0,88%,1683315.0,19316,,Scottsdale; Surrey Central,Expo/Millennium Line,20498.4550451356,2024,723,20498.4550451173,a3b42512-3892-4378-91a4-4f36dad4d63a,19.0,88.0,False,113444.04,118170.875,['316']
340,SCOTTSDALE/22ND ST STN,Southeast,Double Decker,Peak Frequent,35000,26000,16.5,36 km/h,58,1379858,4286,3016,2399,1.0,92%,2831872.0,29273,,22nd Street; Scottsdale,Expo/Millennium Line,46450.2478267484,2024,735,46450.2478267418,f6f58280-8011-4c9f-b6b1-0b085d1fdb4a,36.0,92.0,False,110388.64,1379858.0,['340']
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,47000,25000,6.2,15 km/h,98,686026,2159,1525,1063,3.0,84%,1813804.0,16901,,,,12982.0398839145,2024,700,12982.0398839377,fd2378a5-4e4a-4b1e-9ff5-34f18ff5817d,15.0,84.0,False,109764.16,228675.3333333333,['230']
173/174,COQUITLAM CENTRAL STN/CEDAR/ROCKLIN,Northeast Sector,Mini-Bus,Basic,57000,25000,10.8,25 km/h,127,389002,1280,747,483,0.0,73%,2454023.0,36648,,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,37671.8558851147,2024,679,37671.8558851064,17a64e3f-9c7e-4a2d-8e63-806723a7cf29,25.0,73.0,False,105030.54,inf,"['173', '174']"
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,96000,180000,13.9,26 km/h,130,290311,1055,263,213,4.0,64%,1185781.0,10638,,Caulfeild; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,38833.6222623021,2024,712,38833.6222623342,ee886b35-414d-4118-8200-56d88d448067,26.0,64.0,False,104511.96,72577.75,['253']
595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard,51000,39000,17.6,28 km/h,107,611042,1941,1221,989,3.0,84%,1951907.0,20043,,Carvolth; Langley Centre; Maple Meadows,West Coast Express,37387.6624424865,2024,777,37387.6624425073,c505db17-d08f-4b45-9044-f16d64715b11,28.0,84.0,False,97766.72,203680.66666666663,['595']
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,46000,20000,5.8,20 km/h,111,567917,1737,1307,1039,1.0,83%,2147431.0,20100,,,,17683.3391423592,2024,698,17683.3391423717,ccf0d636-b44d-4baf-98d3-b256bcab8df6,20.0,83.0,False,96545.89,567917.0,['228']
555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Double Decker,Peak Frequent,30000,16000,22.1,66 km/h,71,1181696,3970,1921,1435,6.0,92%,2150689.0,20961,,Carvolth; Lougheed Town Centre,Expo/Millennium Line,66250.3282812118,2024,776,66250.3282812394,b6ebfbd4-7126-457c-9560-777867790c2e,66.0,92.0,False,94535.68,196949.3333333333,['555']
112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,55000,20000,4.2,17 km/h,72,1140726,3564,2648,1779,1.0,92%,2014423.0,19581,,Edmonds; New Westminster,Expo/Millennium Line,9072.15347576976,2024,651,9072.15347578714,7776d9b2-8682-4ba0-8edf-efe8236fb33c,17.0,92.0,False,91258.08,1140726.0,['112']
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,38000,25000,9.8,26 km/h,97,691554,2304,1143,899,1.0,87%,2098341.0,21084,,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,21722.1350050365,2024,670,21722.1350050524,7a412b2b-82fb-44f3-9920-e1c9051dc29e,26.0,87.0,False,89902.02,691554.0,['153']
322,NEWTON EX/SCOTTSDALE,Southeast,Mini-Bus,Standard,71000,21000,14.7,24 km/h,77,986370,2983,2215,1975,3.0,91%,1512419.0,37350,,,,33134.3830352347,2024,727,33134.383035244,eac84883-1dc1-4cb4-8828-c9e8a9615699,24.0,91.0,False,88773.3,328790.0,['322']
531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard,72000,49000,19.7,26 km/h,80,980923,3177,1805,1475,10.0,91%,3091104.0,33130,,,,59559.5394835332,2024,775,59559.5394835286,16e63dd1-a94d-4c07-a6f6-a0cb887c1836,26.0,91.0,False,88283.07,98092.3,['531']
171/172,COQUITLAM CENTRAL STN/RIVERSIDE/FREMONT,Northeast Sector,Mini-Bus,Basic,41000,21000,8.8,26 km/h,112,536812,1772,1087,599,0.0,84%,1875192.0,26958,,Coquitlam Central,Expo/Millennium Line; West Coast Express,31606.5547058485,2024,678,31606.5547058391,bade7f0e-cd6c-4499-9369-f8c69777795e,26.0,84.0,False,85889.92,inf,"['171', '172']"
312,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Standard,48000,17000,11.5,23 km/h,66,1208029,3658,2900,2253,11.0,93%,2394470.0,24438,,Scott Road; Scottsdale,Expo/Millennium Line,25087.3419928984,2024,721,25087.3419929122,f33aae61-c4cd-45ac-bd7b-7a478775c274,23.0,93.0,False,84562.03,109820.81818181818,['312']
406,RICHMOND BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent,74000,30000,10.0,26 km/h,57,1386721,4103,3325,2955,2.0,94%,3915560.0,36473,,Richmond-Brighouse; Steveston,Canada Line,22156.0230953003,2024,761,22156.0230953128,39723237-7e93-4d3b-9725-63ea488973e4,26.0,94.0,False,83203.26,693360.5,['406']
241,UPPER LONSDALE/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,107000,187000,11.4,19 km/h,131,282480,1132,0,721,2.0,71%,923512.0,8577,,Vancouver City Centre,Canada Line; Expo/Millennium Line,26514.5281491466,2024,705,26514.5281491392,1262ae47-25cf-4b75-beef-66c9d6ec916f,19.0,71.0,False,81919.2,141240.0,['241']
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,54000,20000,9.1,23 km/h,99,680747,2251,1127,947,0.0,88%,2307460.0,28873,,Burquitlam; Lougheed Town Centre; Moody Centre,Expo/Millennium Line; West Coast Express,17452.5852141374,2024,681,17452.5852141422,6e180434-42a4-473b-aace-4e971b482642,23.0,88.0,False,81689.64,inf,['180']
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,35000,26000,7.2,22 km/h,115,485881,1248,1606,1411,0.0,84%,2247165.0,20734,,,,18095.921035958,2024,703,18095.9210359415,113dd1cc-bda7-49bc-aa2d-b016f2bf7d2f,22.0,84.0,False,77740.96,inf,['236']
402,TWO ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,73000,31000,9.1,23 km/h,91,858965,2726,1647,1454,2.0,91%,2315531.0,21313,,Richmond-Brighouse; Steveston,Canada Line,17586.1286430121,2024,757,17586.128643013,eff70167-cd6e-4676-8606-bce73e7d28b7,23.0,91.0,False,77306.85,429482.5,['402']
